,,Units,YearBuilt,HeatedAreaPerUnit,NumFloors,Low income,Mid income,High income,Senior Apartments
4 Clusters,cluster 1,28.1818,1985.3636,898.1244,2.5,0.0,1.0,0.0,0.0
4 Clusters,cluster 2,14.5152,1972.6364,772.0112,2.0152,0.9697,0.0,0.0303,0.0
4 Clusters,cluster 3,167.1333,2006.4333,1043.4219,5.9667,0.0,0.0333,0.9667,0.0
4 Clusters,cluster 4,43.0,2003.0,756.4423,2.0,0.0,0.0,0.0,1.0
5 Clusters,cluster 1,190.25,1985.75,506.1149,11.0,0.0,0.0,1.0,0.0
5 Clusters,cluster 2,28.1818,1985.3636,898.1244,2.5,0.0,1.0,0.0,0.0
5 Clusters,cluster 3,9.5937,1974.0625,790.1867,1.9531,1.0,0.0,0.0,0.0
5 Clusters,cluster 4,163.8889,2006.5556,1091.4293,5.1481,0.0,0.037,0.963,0.0
5 Clusters,cluster 5,43.0,2003.0,756.4423,2.0,0.0,0.0,0.0,1.0
6 Clusters,cluster 1,154.2857,2006.1429,1048.7273,5.4643,0.0,0.0,1.0,0.0
6 Clusters,cluster 2,80.0,2005.7143,949.7407,3.0714,0.0,1.0,0.0,0.0
6 Clusters,cluster 3,43.0,2003.0,756.4423,2.0,0.0,0.0,0.0,1.0
6 Clusters,cluster 4,14.5152,1972.6364,772.0112,2.0152,0.9697,0.0,0.0303,0.0
6 Clusters,cluster 5,14.9032,1976.9032,880.7993,2.2903,0.0,1.0,0.0,0.0
6 Clusters,cluster 6,352.0,2013.0,854.6165,22.0,0.0,0.0,1.0,0.0
7 Clusters,cluster 1,9.5937,1974.0625,790.1867,1.9531,1.0,0.0,0.0,0.0
7 Clusters,cluster 2,153.3333,2006.2963,1083.633,5.3704,0.0,0.0,1.0,0.0
7 Clusters,cluster 3,75.0667,2004.8,963.7579,3.0,0.0,1.0,0.0,0.0
7 Clusters,cluster 4,352.0,2013.0,854.6165,22.0,0.0,0.0,1.0,0.0
7 Clusters,cluster 5,176.0,1964.5,148.3338,6.0,0.0,0.0,1.0,0.0
7 Clusters,cluster 6,43.0,2003.0,756.4423,2.0,0.0,0.0,0.0,1.0
7 Clusters,cluster 7,15.2,1976.4,871.4926,2.3,0.0,1.0,0.0,0.0
8 Clusters,cluster 1,80.0,2005.7143,949.7407,3.0714,0.0,1.0,0.0,0.0
8 Clusters,cluster 2,9.5937,1974.0625,790.1867,1.9531,1.0,0.0,0.0,0.0
8 Clusters,cluster 3,153.5,2000.0,1532.5084,7.5,0.0,0.0,1.0,0.0
8 Clusters,cluster 4,154.4167,2007.1667,968.0971,5.125,0.0,0.0,1.0,0.0
8 Clusters,cluster 5,14.9032,1976.9032,880.7993,2.2903,0.0,1.0,0.0,0.0
8 Clusters,cluster 6,43.0,2003.0,756.4423,2.0,0.0,0.0,0.0,1.0
8 Clusters,cluster 7,352.0,2013.0,854.6165,22.0,0.0,0.0,1.0,0.0
8 Clusters,cluster 8,172.0,1927.0,190.3953,4.0,0.0,0.0,1.0,0.0
9 Clusters,cluster 1,9.5937,1974.0625,790.1867,1.9531,1.0,0.0,0.0,0.0
9 Clusters,cluster 2,130.0,2008.75,954.9524,3.6875,0.0,1.0,0.0,0.0
9 Clusters,cluster 3,249.4545,2009.1818,1049.7397,5.9091,0.0,0.0,1.0,0.0
9 Clusters,cluster 4,13.2,1972.9333,1041.4055,2.2,0.0,1.0,0.0,0.0
9 Clusters,cluster 5,352.0,2013.0,854.6165,22.0,0.0,0.0,1.0,0.0
9 Clusters,cluster 6,15.6364,1986.3636,788.2021,2.3409,0.0,1.0,0.0,0.0
9 Clusters,cluster 7,43.0,2003.0,756.4423,2.0,0.0,0.0,0.0,1.0
9 Clusters,cluster 8,176.0,1964.5,148.3338,6.0,0.0,0.0,1.0,0.0
9 Clusters,cluster 9,87.25,2004.3125,1106.9347,5.0,0.0,0.0,1.0,0.0
10 Clusters,cluster 1,352.0,2013.0,854.6165,22.0,0.0,0.0,1.0,0.0
10 Clusters,cluster 2,15.3448,1975.8276,876.0645,2.2759,0.0,1.0,0.0,0.0
10 Clusters,cluster 3,79.0,2009.3333,992.8102,4.5833,0.0,0.0,1.0,0.0
10 Clusters,cluster 4,9.5937,1974.0625,790.1867,1.9531,1.0,0.0,0.0,0.0
10 Clusters,cluster 5,236.0,2005.2308,978.8237,6.0769,0.0,0.0,1.0,0.0
10 Clusters,cluster 6,43.0,2003.0,756.4423,2.0,0.0,0.0,0.0,1.0
10 Clusters,cluster 7,31.7692,2003.0,926.1632,2.7308,0.0,1.0,0.0,0.0
10 Clusters,cluster 8,172.0,1927.0,190.3953,4.0,0.0,0.0,1.0,0.0
10 Clusters,cluster 9,241.3333,2008.6667,1051.719,4.1667,0.0,1.0,0.0,0.0
10 Clusters,cluster 10,101.3333,1997.3333,1575.3112,6.3333,0.0,0.0,1.0,0.0
