Normalized Address,2016 Calls,Total Calls,Business Name,Built Date,Tax SQFT,NbrStories,ShortName,OccupancyLoad,P_Latitude,P_Longitude,Institutional 2,Residential 2,Residential 3,Institutional 1,Residential 4,Institutional 4,Residential 1,Business
3211 BISHOPS WAY LN,,,ALDERSGATE ASBURY HEALTHCARE CENTER SNF,2017,140000,2,Institutional 2,150,,,1,0,0,0,0,0,0,0
8310 MEDICAL PLAZA DR,0,6,AMERICAN BACK CARE,2016,22885,1,Institutional 2,1,35.3187,-80.7752,1,0,0,0,0,0,0,0
308 MT HOLLY-HUNTERSVILLE RD,15,26,THE DANNELLY AT THE CATAWBA SENIOR APARTMENT HOMES,2014,72125,3,Residential 2,100,35.302,-80.9852,0,1,0,0,0,0,0,0
6000 PARK SOUTH DR,85,1559,SUNRISE BRIGHTON GARDENS,2013,3380,1,Residential 3,15,35.1505,-80.8431,0,0,1,0,0,0,0,0
2855 WEST BV,14,116,DOVE'S NEST,2012,53429,2,Institutional 1,100,35.2076,-80.9116,0,0,0,1,0,0,0,0
11945 PROVIDENCE RD,81,82,Waltonwood Assisted and Indepedent Living,2012,195026,2,Residential 4,300,,,0,0,0,0,1,0,0,0
3223 CENTRAL AV,154,678,PEAK NURSING HOME,2011,65000,1,Institutional 2,142,35.2171,-80.7893,1,0,0,0,0,0,0,0
2430 UMAR CT,4,28,"ANGEL HOUSE GROUP HOME, 2430",2011,3794,1,Residential 3,12,35.2333,-80.7617,0,0,1,0,0,0,0,0
5200 PARK RD,0,23,ODYSSEY COUNSELING,2011,3551,1,Residential 3,12,35.1594,-80.8497,0,0,1,0,0,0,0,0
5400 TUCKASEEGEE RD,5,68,LIFESPAN TUCKASEEGEE GRP HOME,2009,0,1,Institutional 2,175,35.2463,-80.9164,1,0,0,0,0,0,0,0
7621 MONROE RD,3,31,"RHA HOWELL OF CHARLOTTE, 7621",2009,3774,1,Residential 4,6,35.1646,-80.7536,0,0,0,0,1,0,0,0
9822 ALBEMARLE RD,0,2,DDR INC,2007,108219,3,Residential 2,240,35.2093,-80.6766,0,1,0,0,0,0,0,0
429 BILLINGSLEY RD,157,1606,ANUVIA PREVENTION & RECOVERY CENTER,2006,169468,4,Residential 2,300,35.1914,-80.8049,0,1,0,0,0,0,0,0
1324 JOHN KIRK DR,4,44,UNIVERSITY ADULT CARE,2004,5942,2,Institutional 4,61,35.3091,-80.7243,0,0,0,0,0,1,0,0
2225 COLE DR,16,243,ALDERSGATE FRANCIS BUILDING,2003,0,3,Residential 2,114,35.2322,-80.7685,0,1,0,0,0,0,0,0
2329 E W T HARRIS BV,1,4,QUEST SERVICES ACTIVITY CENTER,2003,5810,1,Residential 3,5,35.281,-80.7233,0,0,1,0,0,0,0,0
3747 BON-REA DR,2,34,LIFESPAN-BON-REA GROUP HOME,2001,38567,1,Institutional 2,290,35.1001,-80.796,1,0,0,0,0,0,0,0
2435 UMAR CT,0,7,"UMAR GROUP HOME, 2435",2000,3822,1,Residential 4,5,,,0,0,0,0,1,0,0,0
3710 CLENDON CT,,,GIC---CLENDON CT,2000,2200,1,Residential 3,5,35.288,-80.8698,0,0,1,0,0,0,0,0
4400 DALMOOR DR,3,72,DALMOOR GROUP HOME,1999,34118,1,Institutional 1,100,35.2179,-80.7491,0,0,0,1,0,0,0,0
5026 LANSING DR,3,37,TAYLOR GROUP HOME,1999,8778,1,Institutional 2,25,35.1466,-80.7752,1,0,0,0,0,0,0,0
9305 KESTRAL RIDGE DR,5,15,KESTRAL RIDGE FAMILY CARE HOME,1999,2998,1,Residential 4,8,35.3911,-80.7759,0,0,0,0,1,0,0,0
342 GRAHAM MEADOW DR,0,5,KERR HOMES INC,1999,1662,2,Residential 3,6,35.2815,-80.7695,0,0,1,0,0,0,0,0
2101 RUNNYMEDE LN,159,1974,SUMMIT PLACE OF SOUTHPARK,1998,69374,3,Institutional 2,150,35.167,-80.8375,1,0,0,0,0,0,0,0
907 W 1ST ST,16,193,"""CHARLOTTE RESCUE MISSION""",1998,19671,1,Institutional 2,20,35.2296,-80.8556,1,0,0,0,0,0,0,0
4819 DAYBREAK DR,16,58,"MAYFIELD MAYFIELD MEM. APTS, 4912",1998,2056,1,Institutional 4,12,35.2823,-80.8118,0,0,0,0,0,1,0,0
5009 BANFSHIRE RD,2,24,LIFESPAN BANFSHIRE GROUP HOME,1998,72096,2,Institutional 1,509,35.2539,-80.7686,0,0,0,1,0,0,0,0
6101 CLARKE CREEK PY,181,1457,THE LAURELS IN HIGHLAND CREEK,1997,0,3,Institutional 2,135,35.3892,-80.7549,1,0,0,0,0,0,0,0
2415 SANDY PORTER RD,168,982,MECKLENBURG HEALTH CARE Ctr  ,1997,37500,1,Institutional 2,150,35.1359,-80.9414,1,0,0,0,0,0,0,0
5114 PROVIDENCE RD,165,1606,SUNRISE ASSISTED LIVING,1997,7534,2,Residential 2,15,35.1435,-80.7877,0,1,0,0,0,0,0,0
2425 UMAR CT,0,3,UMAR GROUP HOME,1996,3822,1,Residential 4,5,,,0,0,0,0,1,0,0,0
4025 N SHARON AMITY RD,204,1800,THE PARC AT SHARON AMITY,1995,6811,2,Residential 4,6,35.2147,-80.756,0,0,0,0,1,0,0,0
1123 RAVENDALE DR,1,44,RAVENDALE DRIVE GROUP HOME - AUTISM SERVICES,1995,2976,1,Residential 3,6,35.3082,-80.8929,0,0,1,0,0,0,0,0
2033 GARNETTE PL,3,6,GARNETTE GROUP HOME,1995,2268,2,Residential 1,8,35.2614,-80.8511,0,0,0,0,0,0,1,0
10025 NORTHWOODS FOREST DR,0,2,NORTHWOODS GROUP HOME,1995,1831,1,Residential 3,5,35.3037,-80.9589,0,0,1,0,0,0,0,0
215 OLD BELL RD,2,12,INREACH - OLD BELL,1994,3312,1,Residential 1,8,,,0,0,0,0,0,0,1,0
5212 SWEARNGAN RD,0,6,MIRACLE HOUSES - SWEARNGAN,1994,3056,1,Residential 4,8,35.2893,-80.8813,0,0,0,0,1,0,0,0
5151 SARDIS RD,76,1066,SARDIS OAKS NURSING HOME,1993,0,3,Institutional 2,450,35.1591,-80.7923,1,0,0,0,0,0,0,0
4820 DAYBREAK DR,1,15,"MAYFIELD MAYFIELD MEM. APTS, 4912",1993,0,2,Business,49,35.2819,-80.8115,0,0,0,0,0,0,0,1
1930 W SUGAR CREEK RD,83,920,SATURN NURSING CENTER,1993,43870,1,Residential 4,200,35.2902,-80.7947,0,0,0,0,1,0,0,0
12516 OAKHAVEN DR,7,70,RESCARE OAKHAVEN GROUP HOME,1993,2478,0,Residential 4,6,35.1376,-80.9458,0,0,0,0,1,0,0,0
1809 TODDVILLE RD,7,27,RESCARE TODDVILLE ROAD GROUP HOME,1993,2354,1,Residential 4,6,35.2603,-80.9245,0,0,0,0,1,0,0,0
4538 AUSTIN DEKOTA DR,,,AUSTIN DEKOTA GROUP HOME,1993,2336,1,Residential 4,6,35.3081,-80.8348,0,0,0,0,1,0,0,0
