,,Built Date,Tax SQFT,NbrStories,OccupancyLoad,Residential 4,Institutional 2,Institutional 1,Residential 3,Business,Residential 2,Residential 1,Institutional 4
4 Clusters,cluster 1,1987.5217,2964.3043,1.087,7.7826,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4 Clusters,cluster 2,1994.6452,53780.4516,1.871,178.8065,0.0645,0.6452,0.129,0.0,0.0,0.1613,0.0,0.0
4 Clusters,cluster 3,1986.1429,3953.4821,1.125,11.8929,0.7857,0.0,0.0179,0.0,0.0,0.0536,0.1071,0.0357
4 Clusters,cluster 4,1956.0,4235.5,1.6667,21.6667,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5 Clusters,cluster 1,1985.3269,4135.3462,1.1154,17.2115,0.8654,0.0,0.0,0.0,0.0,0.0,0.1154,0.0192
5 Clusters,cluster 2,1994.4815,46578.6296,1.4815,159.4815,0.037,0.7407,0.1852,0.0,0.0,0.0,0.0,0.037
5 Clusters,cluster 3,1987.5217,2964.3043,1.087,7.7826,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5 Clusters,cluster 4,1956.0,4235.5,1.6667,21.6667,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5 Clusters,cluster 5,1996.25,51991.0,2.875,126.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6 Clusters,cluster 1,1987.5882,6434.0784,1.1176,23.4314,0.8824,0.0,0.0784,0.0,0.0,0.0,0.0,0.0392
6 Clusters,cluster 2,1996.25,51991.0,2.875,126.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6 Clusters,cluster 3,1993.4545,51279.1364,1.5,179.9545,0.0455,0.9091,0.0455,0.0,0.0,0.0,0.0,0.0
6 Clusters,cluster 4,1977.5,2730.3333,1.3333,7.8333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6 Clusters,cluster 5,1987.5217,2964.3043,1.087,7.7826,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6 Clusters,cluster 6,1956.0,4235.5,1.6667,21.6667,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
7 Clusters,cluster 1,1986.6222,3848.4222,1.0444,10.9333,0.9778,0.0,0.0222,0.0,0.0,0.0,0.0,0.0
7 Clusters,cluster 2,1993.1923,49042.3846,1.5385,176.5,0.0769,0.7692,0.1538,0.0,0.0,0.0,0.0,0.0
7 Clusters,cluster 3,1987.5217,2964.3043,1.087,7.7826,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7 Clusters,cluster 4,2001.0,3999.0,1.5,36.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7 Clusters,cluster 5,1956.0,4235.5,1.6667,21.6667,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
7 Clusters,cluster 6,1977.5,2730.3333,1.3333,7.8333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7 Clusters,cluster 7,1996.25,51991.0,2.875,126.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8 Clusters,cluster 1,1987.5217,2964.3043,1.087,7.7826,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8 Clusters,cluster 2,1997.8,39127.2,1.4,159.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8 Clusters,cluster 3,1986.0889,4368.8889,1.0889,18.5778,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8 Clusters,cluster 4,1956.0,4235.5,1.6667,21.6667,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
8 Clusters,cluster 5,2001.0,3999.0,1.5,36.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8 Clusters,cluster 6,1996.25,51991.0,2.875,126.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8 Clusters,cluster 7,1977.5,2730.3333,1.3333,7.8333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8 Clusters,cluster 8,1993.2381,50287.8571,1.4762,164.2857,0.0476,0.9524,0.0,0.0,0.0,0.0,0.0,0.0
9 Clusters,cluster 1,1997.8,39127.2,1.4,159.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
9 Clusters,cluster 2,1987.5217,2964.3043,1.087,7.7826,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
9 Clusters,cluster 3,1996.25,51991.0,2.875,126.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
9 Clusters,cluster 4,1986.0889,4368.8889,1.0889,18.5778,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9 Clusters,cluster 5,1991.4444,31549.0,1.4444,156.9444,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9 Clusters,cluster 6,1956.0,4235.5,1.6667,21.6667,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
9 Clusters,cluster 7,1977.5,2730.3333,1.3333,7.8333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9 Clusters,cluster 8,2001.0,3999.0,1.5,36.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9 Clusters,cluster 9,2004.0,162721.0,1.6667,208.3333,0.3333,0.6667,0.0,0.0,0.0,0.0,0.0,0.0
10 Clusters,cluster 1,1987.5217,2964.3043,1.087,7.7826,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
10 Clusters,cluster 2,1986.0889,4368.8889,1.0889,18.5778,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10 Clusters,cluster 3,1991.4444,31549.0,1.4444,156.9444,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
10 Clusters,cluster 4,1990.5,5959.0,2.0,42.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
10 Clusters,cluster 5,1956.0,4235.5,1.6667,21.6667,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
10 Clusters,cluster 6,1997.8,39127.2,1.4,159.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
10 Clusters,cluster 7,1977.5,2730.3333,1.3333,7.8333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10 Clusters,cluster 8,2004.0,162721.0,1.6667,208.3333,0.3333,0.6667,0.0,0.0,0.0,0.0,0.0,0.0
10 Clusters,cluster 9,2001.0,3999.0,1.5,36.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10 Clusters,cluster 10,2002.0,98023.0,3.75,210.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
